ID,u1,u2,u3,u4,u5,u6
0,-0.35,-0.3,-0.25,-0.35,-0.3,-0.25
1,-0.35,-0.3,-0.25,-0.35,-0.3,0.0
2,-0.35,-0.3,-0.25,-0.35,-0.3,0.25
3,-0.35,-0.3,-0.25,-0.35,0.0,-0.25
4,-0.35,-0.3,-0.25,-0.35,0.0,0.0
5,-0.35,-0.3,-0.25,-0.35,0.0,0.25
6,-0.35,-0.3,-0.25,-0.35,0.3,-0.25
7,-0.35,-0.3,-0.25,-0.35,0.3,0.0
8,-0.35,-0.3,-0.25,-0.35,0.3,0.25
9,-0.35,-0.3,-0.25,0.0,-0.3,-0.25
10,-0.35,-0.3,-0.25,0.0,-0.3,0.0
11,-0.35,-0.3,-0.25,0.0,-0.3,0.25
12,-0.35,-0.3,-0.25,0.0,0.0,-0.25
13,-0.35,-0.3,-0.25,0.0,0.0,0.0
14,-0.35,-0.3,-0.25,0.0,0.0,0.25
15,-0.35,-0.3,-0.25,0.0,0.3,-0.25
16,-0.35,-0.3,-0.25,0.0,0.3,0.0
17,-0.35,-0.3,-0.25,0.0,0.3,0.25
18,-0.35,-0.3,-0.25,0.35,-0.3,-0.25
19,-0.35,-0.3,-0.25,0.35,-0.3,0.0
20,-0.35,-0.3,-0.25,0.35,-0.3,0.25
21,-0.35,-0.3,-0.25,0.35,0.0,-0.25
22,-0.35,-0.3,-0.25,0.35,0.0,0.0
23,-0.35,-0.3,-0.25,0.35,0.0,0.25
24,-0.35,-0.3,-0.25,0.35,0.3,-0.25
25,-0.35,-0.3,-0.25,0.35,0.3,0.0
26,-0.35,-0.3,-0.25,0.35,0.3,0.25
27,-0.35,-0.3,0.0,-0.35,-0.3,-0.25
28,-0.35,-0.3,0.0,-0.35,-0.3,0.0
29,-0.35,-0.3,0.0,-0.35,-0.3,0.25
30,-0.35,-0.3,0.0,-0.35,0.0,-0.25
31,-0.35,-0.3,0.0,-0.35,0.0,0.0
32,-0.35,-0.3,0.0,-0.35,0.0,0.25
33,-0.35,-0.3,0.0,-0.35,0.3,-0.25
34,-0.35,-0.3,0.0,-0.35,0.3,0.0
35,-0.35,-0.3,0.0,-0.35,0.3,0.25
36,-0.35,-0.3,0.0,0.0,-0.3,-0.25
37,-0.35,-0.3,0.0,0.0,-0.3,0.0
38,-0.35,-0.3,0.0,0.0,-0.3,0.25
39,-0.35,-0.3,0.0,0.0,0.0,-0.25
40,-0.35,-0.3,0.0,0.0,0.0,0.0
41,-0.35,-0.3,0.0,0.0,0.0,0.25
